SCHOOL-LEVEL TEST-BY-TEST PASS AND PASS ADVANCED,,,,,,8/10/2015,,
DIVISION,SCHOOL,SUBJECT,GRADE,TEST,PASS 2013-2014,PASS 2014-2015,ADVANCED 2013-2014,ADVANCED 2014-2015
Albemarle County ,Crozet Elementary,English: Reading,Gr 3,English Reading,76,72,24,26
Albemarle County ,Crozet Elementary,English: Reading,Gr 4,English Reading,69,68,14,15
Albemarle County ,Crozet Elementary,English: Reading,Gr 5,English Reading,66,74,14,30
Albemarle County ,Crozet Elementary,History and Social Sciences,Content Specific,VA Studies,67,78,25,20
Albemarle County ,Crozet Elementary,Mathematics,Gr 3,Mathematics,72,63,23,26
Albemarle County ,Crozet Elementary,Mathematics,Gr 4,Mathematics,69,80,31,27
Albemarle County ,Crozet Elementary,Mathematics,Gr 5,Mathematics,67,71,13,14
Albemarle County ,Crozet Elementary,Science,Gr 5,Science,44,76,5,10
Albemarle County ,Hollymead Elementary,English: Reading,Gr 3,English Reading,97,90,34,41
Albemarle County ,Hollymead Elementary,English: Reading,Gr 4,English Reading,87,95,33,41
Albemarle County ,Hollymead Elementary,English: Reading,Gr 5,English Reading,87,95,24,46
Albemarle County ,Hollymead Elementary,History and Social Sciences,Content Specific,VA Studies,81,95,41,43
Albemarle County ,Hollymead Elementary,Mathematics,Gr 3,Mathematics,95,86,25,16
Albemarle County ,Hollymead Elementary,Mathematics,Gr 4,Mathematics,88,92,35,33
Albemarle County ,Hollymead Elementary,Mathematics,Gr 5,Mathematics,90,95,40,39
Albemarle County ,Hollymead Elementary,Science,Gr 5,Science,79,93,22,44
Albemarle County ,Jack Jouett Middle,English: Reading,Gr 6,English Reading,65,74,19,18
Albemarle County ,Jack Jouett Middle,English: Reading,Gr 7,English Reading,67,72,17,15
Albemarle County ,Jack Jouett Middle,English: Reading,Gr 8,English Reading,73,74,13,14
Albemarle County ,Jack Jouett Middle,English: Writing,Gr 8,Writing,66,69,20,20
Albemarle County ,Jack Jouett Middle,History and Social Sciences,Content Specific,Civics & Econ,85,86,41,36
Albemarle County ,Jack Jouett Middle,Mathematics,Gr 6,Mathematics,69,82,8,16
Albemarle County ,Jack Jouett Middle,Mathematics,Gr 7,Mathematics,72,64,13,8
Albemarle County ,Jack Jouett Middle,Mathematics,Gr 8,Mathematics,56,71,4,3
Albemarle County ,Jack Jouett Middle,Mathematics,End of Course,Algebra I,96,100,24,20
Albemarle County ,Jack Jouett Middle,Mathematics,End of Course,Algebra II,<,<,<,<
Albemarle County ,Jack Jouett Middle,Mathematics,End of Course,Geometry,100,100,88,75
Albemarle County ,Jack Jouett Middle,Science,Gr 8,Science,76,71,18,12
Albemarle County ,Jackson P. Burley Middle,English: Reading,Gr 6,English Reading,77,77,23,22
Albemarle County ,Jackson P. Burley Middle,English: Reading,Gr 7,English Reading,80,82,27,20
Albemarle County ,Jackson P. Burley Middle,English: Reading,Gr 8,English Reading,68,81,9,18
Albemarle County ,Jackson P. Burley Middle,English: Writing,Gr 8,Writing,63,79,15,34
Albemarle County ,Jackson P. Burley Middle,History and Social Sciences,Content Specific,Civics & Econ,82,81,35,44
Albemarle County ,Jackson P. Burley Middle,Mathematics,Gr 6,Mathematics,90,88,13,16
Albemarle County ,Jackson P. Burley Middle,Mathematics,Gr 7,Mathematics,82,77,26,30
Albemarle County ,Jackson P. Burley Middle,Mathematics,Gr 8,Mathematics,56,52,2,3
Albemarle County ,Jackson P. Burley Middle,Mathematics,End of Course,Algebra I,99,97,28,21
Albemarle County ,Jackson P. Burley Middle,Mathematics,End of Course,Geometry,100,100,61,79
Albemarle County ,Jackson P. Burley Middle,Science,Gr 8,Science,66,73,12,7
Albemarle County ,Joseph T. Henley Middle,English: Reading,Gr 6,English Reading,88,84,25,25
Albemarle County ,Joseph T. Henley Middle,English: Reading,Gr 7,English Reading,92,89,28,28
Albemarle County ,Joseph T. Henley Middle,English: Reading,Gr 8,English Reading,89,93,19,18
Albemarle County ,Joseph T. Henley Middle,English: Writing,Gr 8,Writing,91,94,48,49
Albemarle County ,Joseph T. Henley Middle,History and Social Sciences,Content Specific,Civics & Econ,95,97,56,68
Albemarle County ,Joseph T. Henley Middle,Mathematics,Gr 6,Mathematics,90,86,22,20
Albemarle County ,Joseph T. Henley Middle,Mathematics,Gr 7,Mathematics,89,87,37,30
Albemarle County ,Joseph T. Henley Middle,Mathematics,Gr 8,Mathematics,89,87,11,16
Albemarle County ,Joseph T. Henley Middle,Mathematics,End of Course,Algebra I,98,100,26,18
